InteractorA,InteractorB
Q8N6Y0,P35900
Q8N6Y0,Q15323
Q8N6Y0,O76015
Q8N6Y0,Q6A162
Q8N6Y0,Q5XKE5
Q8N6Y0,Q96BZ8
Q8N6Y0,Q96FQ7
Q8N6Y0,O15481
Q8N6Y0,P33993
Q8N6Y0,Q96EZ8
Q8N6Y0,Q9NPJ6
Q8N6Y0,P00540
Q8N6Y0,Q9Y3D9
Q8N6Y0,P50539
Q8N6Y0,Q6IBW4
Q8N6Y0,O14777
Q8N6Y0,I6L9F6
Q8N6Y0,Q9BVI4
Q8N6Y0,Q9HBI0
Q8N6Y0,Q6P1K2
Q8N6Y0,Q15435
Q8N6Y0,Q14738
Q8N6Y0,P54646
Q8N6Y0,Q9UJF2
Q8N6Y0,Q6P9E2
Q8N6Y0,Q5VTR2
Q8N6Y0,Q9UDX3
Q8N6Y0,Q9UJW9
Q8N6Y0,Q9H788
Q8N6Y0,Q96GM5
Q8N6Y0,Q969G3
Q8N6Y0,O75558
Q8N6Y0,P57105
Q8N6Y0,Q6YHU6
Q8N6Y0,Q96FV9
Q8N6Y0,Q9BYV2
Q8N6Y0,Q99816
Q8N6Y0,P40222
Q8N6Y0,Q8N3L3
Q8N6Y0,Q96B02
Q8N6Y0,Q96FI0
Q8N6Y0,Q5T124
Q8N6Y0,Q548N1
Q8N6Y0,Q9UK41
Q8N6Y0,Q1A5X7
Q8N6Y0,Q68DK2
Q8N6Y0,Q6P088
Q8N6Y0,A0A0S2Z5X4
Q8N6Y0,A0A0S2Z6P0
Q8N6Y0,Q7L2R6
Q9BTA9,Q99996
Q9BTA9,Q8WWB3
Q9BTA9,P42858
Q9BTA9,Q6P597
Q9BTA9,P19012
Q9BTA9,Q5JR59
Q9BTA9,Q16236
Q9BTA9,Q8TDW5
Q9BTA9,Q13077
Q9BTA9,Q9Y228
Q7Z5K2,Q9NTI5
Q7Z5K2,O60216
Q7Z5K2,Q8N3U4
Q15661,P16333
Q15661,P27986
Q8TF45,P60409
Q8NB15,P61371
Q8NB15,Q96DC7
Q8NG11,O14672
Q969S3,Q99683
Q6DKK2,Q8IYA8
Q6DKK2,Q9NRA8
Q6DKK2,Q96JM7
Q6DKK2,Q15742
Q6DKK2,Q04864
Q6DKK2,O15273
P56279,A0A0S2Z3D6
P56279,B0LPE5
P56279,P31749
P56279,A2RRN7
P56279,Q13137
P56279,Q9H257
P56279,Q53EZ4
P56279,Q9Y6K1
P56279,Q09472
P56279,Q96Q35
P56279,P01100
P56279,Q08379
P56279,P05412
P56279,P17275
P56279,P62310
P56279,Q9NRG1
P56279,P15884
P56279,Q13625
P56279,Q13077
P56279,Q6PID6
P56279,P40222
P56279,Q8N3L3
P56279,O94967
P56279,Q96HA8
Q13569,Q9GZX7
Q13569,P24522
Q13569,Q15788
Q13569,Q15788
Q13569,O88846
Q9BXU2,P62760
P43403,P22681
P43403,P20963
P43403,P07766
P43403,P00533
P43403,P10721
P43403,P06239
P43403,P08581
P43403,Q9Y2R2
P43403,Q8N1K5
P43403,Q8BGG7
O95365,Q9NRL2
O95365,Q12873
O95365,Q9HCK8
O95365,Q8WXI9
O95365,Q13547
O95365,Q8IX15
O95365,Q07666
Q86VM9,Q15554
Q96MV8,O14763
P15822,P54253
P15822,O00555
P15822,Q969X6
Q96KR1,Q15796
Q9UDV6,Q86YD7
Q9UDV6,Q12874
Q9UDV6,Q9H5I1
Q9UDV6,P17036
Q9UDV6,Q6ZMS7
Q8NEX5,P50222
Q9H707,Q9BYQ6
Q9H707,Q9BYR2
Q05086,B3KPL7
Q05086,Q9NZD4
Q05086,Q8TDY4
Q05086,Q7Z3C6
Q05086,Q9UFW8
Q05086,P03126
Q05086,P04019
Q05086,P06462
Q05086,P06463
Q05086,P06931
Q05086,Q77E16
Q05086,Q99613
Q05086,P63241
Q05086,O95714
Q05086,Q2WGJ6
Q05086,Q14566
Q05086,P55036
